title_clean,year,grade
10 CLOVERFIELD LANE,2016,B-
"10,000 B.C.",2008,C
101 DALMATIANS,1996,A
102 DALMATIANS,2000,B+
12 MONKEYS,1995,B
12 ROUNDS,2009,B-
12 STRONG,2018,A
13 DAYS,2000,A-
13 GHOSTS,2001,C+
13 GOING ON 30,2004,A-
13 HOURS: THE SECRET SOLDIERS OF BENGHAZI,2016,A
"13TH WARRIOR, THE",1999,B-
1408,2007,B-
1492 CONQUEST OF PARADISE,1992,B+
15 MINUTES,2001,B-
"15:17 TO PARIS, THE",2018,B-
16 BLOCKS,2006,B+
17 AGAIN,2009,A-
187,1997,C+
2 DAYS IN THE VALLEY,1996,B-
2 FAST 2 FURIOUS,2003,A-
2 GUNS,2013,B+
200 CIGARETTES,1999,C+
2012,2009,B+
21 AND OVER,2013,B
21 JUMP STREET,2012,B
21,2008,B+
22 JUMP STREET,2014,A-
25TH HOUR,2002,B-
27 DRESSES,2008,B+
28 DAYS,2000,B+
3 DAYS TO KILL,2014,B
3 NINJAS,1992,A
3 STRIKES,2000,C-
"3,000 MILES TO GRACELAND",2001,C
3:10 TO YUMA,2007,B
30 DAYS OF NIGHT,2007,C
30 MINUTES OR LESS,2011,B
300,2007,A-
300: RISE OF AN EMPIRE,2014,B
"33, THE",2015,A-
40 DAYS AND 40 NIGHTS,2002,B
"40 YEAR-OLD VIRGIN, THE",2005,A-
42,2013,A+
47 METERS DOWN,2017,C
47 RONIN,2013,B+
50 FIRST DATES,2004,A-
50/50,2011,A-
54,1998,C
"5TH WAVE, THE",2016,B-
"6TH DAY, THE",2000,C
8 HEADS IN A DUFFEL BAG,1997,C
8 MILE,2002,B+
88 MINUTES,2008,B-
8MM,1999,C-
9 1/2 WEEKS,1986,C-
"A-TEAM, THE",2010,B+
A-X-L,2018,B+
A.I.: ARTIFICIAL INTELLIGENCE,2001,C+
ABANDON,2002,D
ABDUCTION,2011,B-
ABOUT A BOY,2002,B+
ABOUT LAST NIGHT,1986,A-
ABOUT LAST NIGHT,2014,A-
ABOUT SCHMIDT,2002,B
ABOVE THE LAW,1988,B
ABRAHAM LINCOLN: VAMPIRE HUNTER,2012,C+
ABSOLUTE POWER,1997,B+
"ABYSS, THE",1989,A-
ACCEPTED,2006,A-
"ACCIDENTAL TOURIST, THE",1988,B
"ACCOUNTANT, THE",2016,A
"ACCUSED, THE",1988,A-
ACE VENTURA 2 WHEN NATURE CALLS,1995,B+
ACE VENTURA PET DETECTIVE,1994,A-
ACT OF VALOR,2012,A
ACTION JACKSON,1988,B+
ACTION POINT,2018,C+
ADAM SANDLER'S EIGHT CRAZY NIGHTS,2002,B
ADAPTATION,2002,C
ADDAMS FAMILY VALUES,1993,B+
"ADDAMS FAMILY, THE",1991,B
ADDICTED TO LOVE,1997,B
"ADJUSTMENT BUREAU, THE",2011,B
ADMISSION,2013,B-
ADRIFT,2018,B
ADVENTURES IN BABYSITTING,1987,A-
ADVENTURES OF BARON MUNCHAUSEN,1989,A-
"ADVENTURES OF FORD FAIRLANE, THE",1990,B
"ADVENTURES OF HUCK FINN, THE",1993,B+
"ADVENTURES OF PLUTO NASH, THE",2002,C-
"ADVENTURES OF ROCKY AND BULLWINKLE, THE",2000,B
ADVENTURES OF SHARK BOY AND LAVA GIRL,2005,B+
"ADVENTURES OF TINTIN, THE",2011,A-
AEON FLUX,2005,B-
AFTER,2019,B
AFTER EARTH,2013,B
